"product_name","product_url","product_price","product_time_ended","product_number_of_bids","product_duration","product_end_time","product_bidders","product_feedback_name","product_feedback_url"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi + 4G (Unlocked), 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-4G-Unlocked-7-9in-Space-Gray/402684755220?epid=27030598070&hash=item5dc1e1bd14%3Ag%3ANWsAAOSwe7VgIrOo&LH_Auction=1&LH_ItemCondition=1000","$380.00","Feb-16 15:02","75 bids","7 days","13 Feb 2021 at 7:32:37pm PST","23","User ID
camilojarroyo",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi + 4G (Unlocked), 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-4G-Unlocked-7-9in-Space-Gray/402684755220?epid=27030598070&hash=item5dc1e1bd14%3Ag%3ANWsAAOSwe7VgIrOo&LH_Auction=1&LH_ItemCondition=1000","$380.00","Feb-16 15:02","75 bids","7 days","13 Feb 2021 at 7:32:37pm PST","23","User ID
camilojarroyo","https://www.ebay.com/usr/camilojarroyo"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi + 4G (Unlocked), 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-4G-Unlocked-7-9in-Space-Gray/402684755220?epid=27030598070&hash=item5dc1e1bd14%3Ag%3ANWsAAOSwe7VgIrOo&LH_Auction=1&LH_ItemCondition=1000","$380.00","Feb-16 15:02","75 bids","7 days","13 Feb 2021 at 7:32:37pm PST","23","User ID","https://www.ebay.com/usr/camilojarroyo"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/393124176606?epid=9030594179&hash=item5b8806e2de%3Ag%3AeCQAAOSwh%7EdgH0WZ&LH_Auction=1&LH_ItemCondition=1000","$335.00","Feb-13 17:46","4 bids","7 days","13 Feb 2021 at 5:46:28pm PST","3","User ID
rummagerambler (
Feedback score
76)",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/393124176606?epid=9030594179&hash=item5b8806e2de%3Ag%3AeCQAAOSwh%7EdgH0WZ&LH_Auction=1&LH_ItemCondition=1000","$335.00","Feb-13 17:46","4 bids","7 days","13 Feb 2021 at 5:46:28pm PST","3","User ID
rummagerambler (
Feedback score
76
)",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/393124176606?epid=9030594179&hash=item5b8806e2de%3Ag%3AeCQAAOSwh%7EdgH0WZ&LH_Auction=1&LH_ItemCondition=1000","$335.00","Feb-13 17:46","4 bids","7 days","13 Feb 2021 at 5:46:28pm PST","3","User ID
rummagerambler","https://www.ebay.com/usr/rummagerambler"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/393124176606?epid=9030594179&hash=item5b8806e2de%3Ag%3AeCQAAOSwh%7EdgH0WZ&LH_Auction=1&LH_ItemCondition=1000","$335.00","Feb-13 17:46","4 bids","7 days","13 Feb 2021 at 5:46:28pm PST","3","User ID","https://www.ebay.com/usr/rummagerambler"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/393124176606?epid=9030594179&hash=item5b8806e2de%3Ag%3AeCQAAOSwh%7EdgH0WZ&LH_Auction=1&LH_ItemCondition=1000","$335.00","Feb-13 17:46","4 bids","7 days","13 Feb 2021 at 5:46:28pm PST","3","Feedback score
76","http://feedback.ebay.com/ws/eBayISAPI.dll?ViewFeedback2&userid=rummagerambler&ftab=AllFeedback&myworld=true&rt=nc&_trksid=p2545226.m2531.l4585"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/393124176606?epid=9030594179&hash=item5b8806e2de%3Ag%3AeCQAAOSwh%7EdgH0WZ&LH_Auction=1&LH_ItemCondition=1000","$335.00","Feb-13 17:46","4 bids","7 days","13 Feb 2021 at 5:46:28pm PST","3","Feedback score","http://feedback.ebay.com/ws/eBayISAPI.dll?ViewFeedback2&userid=rummagerambler&ftab=AllFeedback&myworld=true&rt=nc&_trksid=p2545226.m2531.l4585"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/393124176606?epid=9030594179&hash=item5b8806e2de%3Ag%3AeCQAAOSwh%7EdgH0WZ&LH_Auction=1&LH_ItemCondition=1000","$335.00","Feb-13 17:46","4 bids","7 days","13 Feb 2021 at 5:46:28pm PST","3","100% positive feedback",""
